ID,NAME,ADDR,X,Y,T_CNT,T_M_CNT,T_F_CNT,S_CNT,S_M_CNT,S_F_CNT,C_CNT,L1_C_CNT,L2_C_CNT,L3_C_CNT,STU_CNT,STU_M_CNT,STU_F_CNT,L1_STU_M_CNT,L1_STU_F_CNT,L2_STU_M_CNT,L2_STU_F_CNT,L3_STU_M_CNT,L3_STU_F_CNT,G_STU_CNT,G_STU_M_CNT,G_STU_F_CNT,NA_STU_CNT,NA_STU_M_CNT,NA_STU_F_CNT,SL_AREA,SB_AREA,AU_CNT,AU_AREA,CR_CNT,CR_AREA,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,國中專任教師數,國中男專任教師數,國中女專任教師數,國中職員數,國中男職員數,國中女職員數,國中班級數,國中一年級班級數,國中二年級班級數,國中三年級班級數,國中學生數,國中男學生數,國中女學生數,國中一年級男學生數,國中一年級女學生數,國中二年級男學生數,國中二年級女學生數,國中三年級男學生數,國中三年級女學生數,國中上學年畢業生數,國中上學年男畢業生數,國中上學年女畢業生數,國中原住民學生數,國中男原住民學生數,國中女原住民學生數,國中校地面積,國中校舍面積,國中禮堂座數,國中禮堂面積,國中教室間數,國中教室面積,資料時間
10301,國立華僑高級中等學校附設國中,[220]新北市板橋區大觀路一段32號,295178.942,2766686.48,0,0,0,0,0,0,3,1,1,1,44,24,20,11,5,8,6,5,9,14,6,8,0,0,0,0,0,0,0,0,0,112Y
11301,私立淡江高中附設國中,[251]新北市淡水區真理街26號,293930.465,2785238.828,0,0,0,0,0,0,21,7,7,7,803,436,367,153,123,128,118,155,126,281,150,131,14,3,11,0,0,0,0,0,0,112Y
11302,私立康橋高中附設國中,[231]新北市新店區華城路800號,300284.485,2756006.109,0,0,0,0,0,0,33,11,11,11,925,434,491,145,151,147,178,142,162,322,164,158,2,0,2,0,0,0,0,0,0,112Y
11306,私立金陵女中附設國中,[241]新北市三重區重新路五段656號,297062.566,2770566.877,0,0,0,0,0,0,24,7,8,9,941,0,941,0,317,0,288,0,336,318,0,318,8,0,8,0,0,0,0,0,0,112Y
11307,新北市裕德高級中等學校附設國中,[236]新北市土城區擺接堡路1號,294378.061,2763963.975,0,0,0,0,0,0,18,6,6,6,519,267,252,100,87,85,78,82,87,126,63,63,0,0,0,0,0,0,0,0,0,112Y
11309,財團法人南山高中附設國中,[235]新北市中和區廣福路41號,300817.785,2766052.328,0,0,0,0,0,0,66,22,22,22,2917,1561,1356,522,462,524,452,515,442,953,527,426,11,5,6,0,0,0,0,0,0,112Y
11310,財團法人恆毅高中附設國中,[242]新北市新莊區中正路108號,295789.261,2769903.034,0,0,0,0,0,0,24,8,8,8,1036,705,331,243,104,223,107,239,120,405,301,104,10,7,3,0,0,0,0,0,0,112Y
11311,私立聖心女中附設國中,[249]新北市八里區龍米路一段263號,295329.446,2780785.258,0,0,0,0,0,0,14,4,5,5,508,0,508,0,151,0,180,0,177,199,0,199,2,0,2,0,0,0,0,0,0,112Y
11312,私立崇義高中附設國中,[221]新北市汐止區大同路三段68號,317506.503,2774466.358,0,0,0,0,0,0,1,0,0,1,8,8,0,1,0,1,0,6,0,2,1,1,5,5,0,0,0,0,0,0,0,112Y
11314,財團法人福瑞斯特高中附設國中,[236]新北市土城區城林路2號,294163.94,2763149.012,0,0,0,0,0,0,3,2,1,0,69,38,31,28,21,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112Y
11316,私立格致高中附設國中,[241]新北市三重區大智街260號,299302.959,2774045.282,0,0,0,0,0,0,18,6,6,6,648,393,255,143,88,126,85,124,82,268,168,100,4,3,1,0,0,0,0,0,0,112Y
