ID,NAME,ADDR,X,Y,T_CNT,T_M_CNT,T_F_CNT,S_CNT,S_M_CNT,S_F_CNT,C_CNT,L1_C_CNT,L2_C_CNT,L3_C_CNT,L4_C_CNT,L5_C_CNT,L6_C_CNT,STU_CNT,STU_M_CNT,STU_F_CNT,L1_STU_M_CNT,L1_STU_F_CNT,L2_STU_M_CNT,L2_STU_F_CNT,L3_STU_M_CNT,L3_STU_F_CNT,L4_STU_M_CNT,L4_STU_F_CNT,L5_STU_M_CNT,L5_STU_F_CNT,L6_STU_M_CNT,L6_STU_F_CNT,G_STU_CNT,G_STU_M_CNT,G_STU_F_CNT,NA_STU_CNT,NA_STU_M_CNT,NA_STU_F_CNT,SL_AREA,SB_AREA,AU_CNT,AU_AREA,CR_CNT,CR_AREA,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,國小專任教師數,國小男專任教師數,國小女專任教師數,國小職員數,國小男職員數,國小女職員數,國小班級數,國小一年級班級數,國小二年級班級數,國小三年級班級數,國小四年級班級數,國小五年級班級數,國小六年級班級數,國小學生數,國小男學生數,國小女學生數,國小一年級男學生數,國小一年級女學生數,國小二年級男學生數,國小二年級女學生數,國小三年級男學生數,國小三年級女學生數,國小四年級男學生數,國小四年級女學生數,國小五年級男學生數,國小五年級女學生數,國小六年級男學生數,國小六年級女學生數,國小上學年畢業生數,國小上學年男畢業生數,國小上學年女畢業生數,國小原住民學生數,國小原住民男學生數,國小原住民女學生數,國小校地面積,國小校舍面積,國小禮堂座數,國小禮堂面積,國小教室間數,國小教室面積,資料時間
11301,私立淡江高中附設國小,[251]新北市淡水區真理街26號,293930.465,2785238.828,26,10,16,3,0,3,16,3,3,3,3,2,2,517,252,265,49,55,50,55,46,47,38,45,30,37,39,26,60,35,25,1,1,0,0,0,0,0,0,0,112Y
11302,私立康橋高中附設國小,[231]新北市新店區頂城五街80號,302205.543,2760772.74,66,12,54,0,0,0,48,8,8,8,8,8,8,1728,864,864,158,130,142,147,142,146,149,137,136,153,137,151,278,138,140,3,1,2,0,0,0,0,0,0,112Y
11307,新北市裕德高級中等學校附設國小,[236]新北市土城區擺接堡路1號,294378.061,2763963.975,80,33,47,0,0,0,47,8,8,8,8,8,7,1628,836,792,139,135,154,141,142,135,139,126,136,134,126,121,194,103,91,0,0,0,0,0,0,0,0,0,112Y
11314,私立福瑞斯特高中附設國小,[236]新北市土城區城林路2號,294163.94,2763149.012,10,4,6,12,5,7,6,3,3,0,0,0,0,123,68,55,28,31,40,24,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,112Y
11330,新北市林口康橋高中附設國小,[244]新北市林口區興林路55號,289315.013,2774104.123,74,17,57,35,11,24,42,7,7,7,6,7,8,1513,760,753,125,127,121,131,125,127,107,110,126,126,156,132,216,110,106,3,2,1,0,0,0,0,0,0,112Y
11601,私立育才國小,[234]新北市永和區福和路125巷20號,302652.009,2766660.929,46,12,34,6,2,4,27,4,4,4,5,5,5,981,487,494,73,83,71,82,59,88,93,83,85,90,106,68,122,64,58,4,1,3,2589,3798,0,0,33,0,112Y
11602,私立聖心國小,[249]新北市八里區龍米路一段261號,295410.89,2780719.612,32,2,30,6,1,5,18,3,3,3,3,3,3,619,240,379,51,73,44,69,45,72,32,61,32,53,36,51,94,33,61,1,0,1,18310,13246,1,0,42,0,112Y
11603,私立及人國小,[234]新北市永和區文化路172號,301678.825,2767610.333,72,15,57,8,2,6,41,7,7,7,7,7,6,1689,844,845,130,143,154,132,136,144,148,133,143,160,133,133,254,111,143,5,4,1,6629,7385,0,0,61,0,112Y
11604,私立竹林國小,[234]新北市永和區竹林路34號,302211.61,2767482.366,66,18,48,11,0,11,37,6,6,6,6,7,6,1396,707,689,117,111,114,112,118,115,100,120,142,125,116,106,221,115,106,6,2,4,2785,4744,0,0,50,0,112Y
11606,私立信賢種籽親子實小,[233]新北市烏來區信賢里娃娃谷41號,303428.701,2748019.135,10,2,8,3,0,3,6,1,1,1,1,1,1,99,47,52,8,9,7,9,8,9,7,10,8,8,9,7,16,8,8,0,0,0,7120,784,0,0,15,0,112Y
13601,市立北大國小,[237]新北市三峽區國光街100號,287667.973,2759094.703,78,16,62,5,1,4,38,6,6,6,6,7,7,1154,572,582,93,93,102,87,85,95,84,97,105,103,103,107,168,86,82,42,19,23,21745,22829,1,0,59,0,112Y
13602,市立新林國小,[244]新北市林口區三民路101號,286265.085,2773532.262,70,17,53,3,0,3,38,6,6,8,6,6,6,1207,608,599,101,95,100,101,109,118,115,82,96,99,87,104,109,62,47,9,2,7,27532,19498,1,0,56,0,112Y
13603,市立淡海國小,[251]新北市淡水區新市二路二段81號,293213.212,2787473.376,31,4,27,2,0,2,17,7,4,3,3,0,0,421,216,205,89,90,54,40,38,43,35,32,0,0,0,0,0,0,0,11,7,4,20901,21551,0,0,40,0,112Y
13604,市立東湖國小,[244]新北市林口區佳林路200號,288536.183,2774240.342,55,10,45,4,1,3,29,8,8,4,4,3,2,802,398,404,122,121,131,124,59,42,45,71,38,40,3,6,0,0,0,51,26,25,23757,25833,1,0,110,0,112Y
14601,市立板橋國小,[220]新北市板橋區黃石里文化路一段23號,296246.844,2767052.676,159,36,123,8,3,5,89,12,12,14,14,19,18,2575,1342,1233,192,201,211,187,216,229,222,192,254,221,247,203,392,184,208,27,16,11,21613,16212,1,0,114,0,112Y
14602,市立國光國小,[220]新北市板橋區中正路325巷30號,295754.229,2768005.176,72,24,48,5,1,4,36,6,6,5,6,6,7,715,353,362,63,55,62,64,65,54,57,63,46,78,60,48,85,47,38,10,2,8,28800,13634,1,0,55,0,112Y
14603,市立新埔國小,[220]新北市板橋區新翠里陽明街206號,296684.732,2768724.168,137,38,99,8,1,7,74,11,11,12,13,14,13,2162,1079,1083,173,170,180,166,175,184,175,207,202,188,174,168,304,148,156,20,12,8,21171,30779,1,0,106,0,112Y
14604,市立埔墘國小,[220]新北市板橋區永豐街42之8號,297846.572,2767863.315,149,34,115,7,0,7,77,12,12,14,12,13,14,1928,1002,926,152,140,177,142,167,160,153,146,177,154,176,184,339,183,156,31,13,18,17233,13869,1,0,150,0,112Y
14605,市立莒光國小,[220]新北市板橋區華翠里莒光路163號,297859.249,2768650.647,190,40,150,7,3,4,105,15,19,17,17,19,18,3042,1590,1452,235,232,271,229,264,250,266,250,272,257,282,234,482,251,231,20,12,8,28466,19471,0,0,130,0,112Y
14606,市立後埔國小,[220]新北市板橋區重慶路157號,296703.861,2766227.902,189,39,150,7,1,6,105,15,17,19,18,18,18,2613,1312,1301,191,185,223,207,218,227,222,215,216,237,242,230,397,202,195,24,10,14,18976,38684,1,0,142,0,112Y
14607,市立海山國小,[220]新北市板橋區漢生東路280號,297529.69,2766918.125,157,33,124,7,2,5,88,14,14,15,15,15,15,2738,1373,1365,198,225,219,211,229,240,245,218,242,232,240,239,456,230,226,10,4,6,14952,26647,1,0,101,0,112Y
14608,市立江翠國小,[220]新北市板橋區松翠里文化路二段413號,297849.499,2769446.988,127,27,100,6,1,5,71,12,11,13,11,12,12,1831,927,904,152,136,147,157,152,170,177,127,139,146,160,168,281,152,129,19,7,12,23157,9716,1,0,106,0,112Y
14610,市立文聖國小,[220]新北市板橋區文聖街86號,298155,2769130.01,90,24,66,6,1,5,49,7,8,9,8,9,8,1219,647,572,99,88,120,93,115,115,97,84,118,90,98,102,157,87,70,14,7,7,27537,13180,0,0,75,0,112Y
14611,市立沙崙國小,[220]新北市板橋區篤行路二段132號,293462.044,2764710.934,100,29,71,6,2,4,53,8,9,9,9,9,9,1348,698,650,92,103,115,103,123,103,120,104,111,127,137,110,210,116,94,38,19,19,27126,12258,1,0,85,0,112Y
14612,市立文德國小,[220]新北市板橋區新翠里英士路179號,296272.945,2768349.16,159,42,117,7,3,4,92,15,15,16,14,16,16,2462,1292,1170,204,194,210,200,227,194,208,174,225,199,218,209,372,204,168,34,18,16,24930,29110,1,0,134,0,112Y
14613,市立樹林國小,[238]新北市樹林區樹西里育英街176號,292179.561,2764671.422,123,31,92,6,0,6,63,9,11,10,10,12,11,1523,816,707,129,104,150,111,129,113,137,103,124,151,147,125,225,112,113,28,18,10,21716,24511,1,0,108,0,112Y
14614,市立文林國小,[238]新北市樹林區潭底里千歲街59號,293011.701,2765568.939,113,37,76,7,1,6,62,9,9,10,9,14,11,1580,819,761,123,127,122,130,136,129,127,108,167,139,144,128,222,105,117,78,35,43,28388,10890,1,0,107,0,112Y
14615,市立大同國小,[238]新北市樹林區大同里大同街43號,292151.146,2763772.376,97,26,71,7,3,4,52,7,9,8,8,8,12,1268,639,629,104,89,109,114,102,104,89,98,105,100,130,124,191,98,93,88,43,45,23979,26622,1,0,118,0,112Y
14616,市立武林國小,[238]新北市樹林區保安街二段151號,291926.379,2766024.073,53,16,37,6,1,5,27,4,5,4,4,5,5,672,345,327,48,49,60,66,55,46,51,57,65,50,66,59,119,67,52,35,22,13,21200,16418,0,0,63,0,112Y
14617,市立山佳國小,[238]新北市樹林區中山路三段5號,290561.01,2763126.013,24,9,15,4,1,3,12,2,2,2,2,2,2,237,130,107,29,23,21,20,21,16,21,17,21,14,17,17,35,18,17,39,21,18,15406,4744,1,0,38,0,112Y
14618,市立育德國小,[238]新北市樹林區中山里佳園路一段34號,289628.669,2762611.033,39,13,26,2,1,1,20,3,4,3,4,3,3,498,274,224,51,37,44,43,44,24,55,44,41,32,39,44,81,46,35,54,32,22,19983,9438,1,0,28,0,112Y
14619,市立柑園國小,[238]新北市樹林區柑園街一段353號,289327.977,2760923.761,48,14,34,3,0,3,26,4,4,5,3,5,5,688,352,336,56,44,54,47,77,71,47,44,65,72,53,58,88,52,36,27,11,16,17088,13284,1,0,36,0,112Y
14620,市立鶯歌國小,[239]新北市鶯歌區同慶里尖山埔路106號,284915.324,2760414.761,108,32,76,6,0,6,58,9,9,8,9,11,12,1405,753,652,116,121,115,92,132,84,115,114,125,113,150,128,212,113,99,38,19,19,45235,26166,1,0,89,0,112Y
14621,市立二橋國小,[239]新北市鶯歌區二橋里中正三路106號,284096.926,2759270.861,57,20,37,3,0,3,30,5,5,5,5,5,5,704,378,326,64,53,61,61,65,53,62,57,60,48,66,54,101,53,48,48,21,27,20270,9839,1,0,41,0,112Y
14622,市立中湖國小,[239]新北市鶯歌區中湖里中湖街25號,285144.875,2762829.975,17,7,10,2,0,2,8,1,1,2,1,2,1,140,69,71,9,15,14,9,14,14,10,7,14,12,8,14,16,9,7,16,6,10,12294,6965,1,0,28,0,112Y
14623,市立鳳鳴國小,[239]新北市鶯歌區鳳鳴里永和街120號,283828.806,2762401.163,63,26,37,6,1,5,34,5,6,6,6,6,5,860,427,433,75,62,63,98,88,78,76,55,75,69,50,71,130,63,67,42,18,24,33871,9289,0,0,72,0,112Y
14624,市立三峽國小,[237]新北市三峽區中山路16號,287332.396,2758577.156,101,26,75,6,1,5,54,7,8,9,11,9,10,1240,666,574,90,68,116,92,122,104,102,102,108,100,128,108,189,101,88,91,48,43,29257,21677,1,0,80,0,112Y
14625,市立大埔國小,[237]新北市三峽區大埔路130號,287019.248,2755387.426,33,15,18,4,0,4,17,3,3,2,3,3,3,272,159,113,22,18,27,22,22,18,31,15,27,21,30,19,50,25,25,10,4,6,12991,7326,0,0,27,0,112Y
14626,市立民義國小,[237]新北市三峽區嘉添里白雞路40號,287895,2756020.01,17,5,12,2,0,2,6,1,1,1,1,1,1,106,55,51,11,8,13,9,10,10,5,2,11,12,5,10,22,11,11,2,1,1,18684,5120,0,0,17,0,112Y
14627,市立成福國小,[237]新北市三峽區溪東里溪東路213號,290972.543,2758440.121,21,6,15,4,2,2,10,1,2,2,1,2,2,158,77,81,10,13,12,13,14,16,8,9,17,18,16,12,29,12,17,14,9,5,12724,4642,1,0,20,0,112Y
14628,市立大成國小,[237]新北市三峽區成福路251巷二號,293178.845,2757451.385,15,8,7,2,0,2,6,1,1,1,1,1,1,60,30,30,3,1,5,3,7,4,2,10,8,5,5,7,14,4,10,2,1,1,9568,3155,0,0,15,0,112Y
14629,市立建安國小,[237]新北市三峽區安坑里建安路67號,295128,2757680.01,14,5,9,2,0,2,6,1,1,1,1,1,1,62,41,21,5,4,8,5,7,2,6,4,6,3,9,3,7,1,6,2,0,2,8660,2562,0,0,14,0,112Y
14630,市立插角國小,[237]新北市三峽區插角里插角路39號,290946,2751700.01,22,8,14,4,1,3,12,2,2,2,2,2,2,157,88,69,12,11,16,10,16,12,16,11,15,10,13,15,24,15,9,3,1,2,14064,2542,0,0,20,0,112Y
14631,市立有木國小,[237]新北市三峽區有木里131號,294197.958,2749594.617,14,5,9,2,1,1,6,1,1,1,1,1,1,85,42,43,7,6,8,8,5,7,8,5,6,10,8,7,13,9,4,5,3,2,12797,1016,0,0,10,0,112Y
14632,市立五寮國小,[237]新北市三峽區五寮里69號,286363.234,2750211.856,15,7,8,2,0,2,6,1,1,1,1,1,1,73,38,35,6,7,9,7,2,4,7,4,5,7,9,6,16,10,6,0,0,0,8596,1984,0,0,12,0,112Y
